title_num,title_opt,url,imgUrl,year,artist,material,scale,title
1,검은풍경,http://gmoma.ggcf.kr/archives/artwork/%EA%B2%80%EC%9D%80%ED%92%8D%EA%B2%BD,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m8qelRBTUML5ZoD9QqcLY3IoFPVbD92GqwJM51CBKAtkA%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2005","<strong class="theme-key-color">작가(출처)/</strong> 박병춘/Park Byong Choon","<strong class="theme-key-color">재질/</strong> 한지에 먹/Indian ink on korean paper","<strong class="theme-key-color">규격/</strong> 192*804cm","검은풍경/Black Landscape"
2,여자의-집-ll-이순자의-집1-제사풍경,http://gmoma.ggcf.kr/archives/artwork/%EC%97%AC%EC%9E%90%EC%9D%98-%EC%A7%91-ll-%EC%9D%B4%EC%88%9C%EC%9E%90%EC%9D%98-%EC%A7%911-%EC%A0%9C%EC%82%AC%ED%92%8D%EA%B2%BD,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2FLnnW0%2FJHfRKtVVLOxGeGEOZEBkIyulCrDlKR06XshhQ%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2004","<strong class="theme-key-color">작가(출처)/</strong> 이선민/Lee Sun Min","<strong class="theme-key-color">재질/</strong> 디지털 실버 프린트/digital silver-print","<strong class="theme-key-color">규격/</strong> 80*80","여자의 집 ll, 이순자의 집#1-제사풍경/Women”s House II, Lee Sun-ja”s house#1-Ancestral rites"
3,지워지다-두더지,http://gmoma.ggcf.kr/archives/artwork/%EC%A7%80%EC%9B%8C%EC%A7%80%EB%8B%A4-%EB%91%90%EB%8D%94%EC%A7%80,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m937I8xh81NETkjlGdBX0%2BDs3qZIq8VNVOj9mt5k3CaoA%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2007","<strong class="theme-key-color">작가(출처)/</strong> 정정엽/Jung Jung Yeob","<strong class="theme-key-color">재질/</strong> 캔버스에 오일/Oil on Canvas","<strong class="theme-key-color">규격/</strong> 162*130","지워지다-두더지/Be erased-mole"
4,용마산에서-본-한강전경,http://gmoma.ggcf.kr/archives/artwork/%EC%9A%A9%EB%A7%88%EC%82%B0%EC%97%90%EC%84%9C-%EB%B3%B8-%ED%95%9C%EA%B0%95%EC%A0%84%EA%B2%BD,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m8l5gQY6zISdQgWh1cSfeemO3NphEnUqWcFDBEqThPm2g%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2005","<strong class="theme-key-color">작가(출처)/</strong> 김범석/Kim Beom Seck","<strong class="theme-key-color">재질/</strong> 한지, 먹, 호분/Korean paper, indian-ink, shellfish powder","<strong class="theme-key-color">규격/</strong> 143*210cm","용마산에서 본 한강전경/Landscape of Han River from Yongma-mountain"
5,헤이리-여신-우마드,http://gmoma.ggcf.kr/archives/artwork/%ED%97%A4%EC%9D%B4%EB%A6%AC-%EC%97%AC%EC%8B%A0-%EC%9A%B0%EB%A7%88%EB%93%9C,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2BVfuSq8zrK84%2FyAQfIy3zCqL8mPAmVhW7TBqeOu8o%2BpQ%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2004","<strong class="theme-key-color">작가(출처)/</strong> 박영숙/Park Yeong Sook","<strong class="theme-key-color">재질/</strong> C-프린트/C-print","<strong class="theme-key-color">규격/</strong> each 160*120cm","헤이리 여신 우마드/”WOMAD”-The Goddess of Heyri"
6,새가-된-소녀,http://gmoma.ggcf.kr/archives/artwork/%EC%83%88%EA%B0%80-%EB%90%9C-%EC%86%8C%EB%85%80,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m9wcdSAql4raBFJJMkzP5voG%2FGTaEe3NJ27MPA%2Bugcy8Q%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2007","<strong class="theme-key-color">작가(출처)/</strong> 류준화/Ryu Jun Hwa","<strong class="theme-key-color">재질/</strong> 면천위레 석회, 아크릴릭, 콘테/Lime powder, acrylic, conte on cotton","<strong class="theme-key-color">규격/</strong> 60×60cm","새가 된 소녀/The bird girl"
7,still-life-두개의-문,http://gmoma.ggcf.kr/archives/artwork/still-life-%EB%91%90%EA%B0%9C%EC%9D%98-%EB%AC%B8,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m81LLc5FgQhf0f1AHajlM8xD3NJV%2FxjuvcY89MAAeouxg%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2007","<strong class="theme-key-color">작가(출처)/</strong> 유현미/Yoo Hyun Mi","<strong class="theme-key-color">재질/</strong> C 프린트 / C-print","<strong class="theme-key-color">규격/</strong> 150*120","Still Life-두개의 문/Still Life-Two gates"
8,실락원1,http://gmoma.ggcf.kr/archives/artwork/%EC%8B%A4%EB%9D%BD%EC%9B%901,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2Fn0Iyhg0GCd0v3mEgIeOkGiYQLY1bA3WghRafrOOmp4A%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2008","<strong class="theme-key-color">작가(출처)/</strong> 리경/Ligyung","<strong class="theme-key-color">재질/</strong> 렌티큘러/Lenticular","<strong class="theme-key-color">규격/</strong> 220*400","실락원#1/Paradise Lost #1"
9,tomorrow-강아지-마을,http://gmoma.ggcf.kr/archives/artwork/tomorrow-%EA%B0%95%EC%95%84%EC%A7%80-%EB%A7%88%EC%9D%84,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m8%2BJYRfRS10Vju697iTD7Wq%2FFS3EUL0gBczw0GOZqKEmw%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2008","<strong class="theme-key-color">작가(출처)/</strong> 원성원/Won Seoung Won","<strong class="theme-key-color">재질/</strong> C 프린트/c-print","<strong class="theme-key-color">규격/</strong> 120*200","Tomorrow-강아지 마을/Tomorrow-Village of dogs"
10,비위치드-5,http://gmoma.ggcf.kr/archives/artwork/%EB%B9%84%EC%9C%84%EC%B9%98%EB%93%9C-5,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2FmtIGYFx4XlzTXJ7wVa5mxB%2Bdq%2FJSMqkhoKKzjca7GaQ%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2001","<strong class="theme-key-color">작가(출처)/</strong> 정연두/Jung Yeon Doo","<strong class="theme-key-color">재질/</strong> color photograph","<strong class="theme-key-color">규격/</strong> each 70*56cm","비위치드 #5/Bewitched #5"
